Age,Incidence,Mortality,Type,Sex,Var(log) Incidence
0,733,643,Lung,Female,0.23
5,608,534,Lung,Female,0.23
10,504,442,Lung,Female,0.23
15,417,367,Lung,Female,0.23
20,346,305,Lung,Female,0.23
30,242,213,Lung,Female,0.23
40,240,212,Lung,Female,0.23
50,230,204,Lung,Female,0.23
60,201,183,Lung,Female,0.23
70,147,140,Lung,Female,0.23
80,77,81,Lung,Female,0.23
0,1171,274,Breast,Female,0.12
5,914,214,Breast,Female,0.12
10,712,167,Breast,Female,0.12
15,553,130,Breast,Female,0.12
20,429,101,Breast,Female,0.12
30,253,61,Breast,Female,0.12
40,141,35,Breast,Female,0.12
50,70,19,Breast,Female,0.12
60,31,9,Breast,Female,0.12
70,12,5,Breast,Female,0.12
80,4,2,Breast,Female,0.12
0,50,11,Uterus,Female,0.00
5,42,10,Uterus,Female,0.00
10,36,8,Uterus,Female,0.00
15,30,7,Uterus,Female,0.00
20,26,6,Uterus,Female,0.00
30,18,4,Uterus,Female,0.00
40,16,4,Uterus,Female,0.00
50,13,3,Uterus,Female,0.00
60,9,3,Uterus,Female,0.00
70,5,2,Uterus,Female,0.00
80,2,1,Uterus,Female,0.00
0,104,55,Ovary,Female,0.54
5,87,47,Ovary,Female,0.54
10,73,39,Ovary,Female,0.54
15,60,34,Ovary,Female,0.54
20,50,28,Ovary,Female,0.54
30,34,20,Ovary,Female,0.54
40,31,20,Ovary,Female,0.54
50,25,18,Ovary,Female,0.54
60,18,15,Ovary,Female,0.54
70,11,10,Ovary,Female,0.54
80,5,5,Ovary,Female,0.54
0,212,59,Bladder,Female,0.34
5,180,51,Bladder,Female,0.34
10,152,43,Bladder,Female,0.34
15,129,36,Bladder,Female,0.34
20,109,31,Bladder,Female,0.34
30,79,23,Bladder,Female,0.34
40,78,23,Bladder,Female,0.34
50,74,22,Bladder,Female,0.34
60,64,22,Bladder,Female,0.34
70,47,19,Bladder,Female,0.34
80,24,13,Bladder,Female,0.34
0,1339,491,Other solid,Female,0.19
5,719,287,Other solid,Female,0.19
10,523,220,Other solid,Female,0.19
15,409,179,Other solid,Female,0.19
20,323,147,Other solid,Female,0.19
30,207,103,Other solid,Female,0.19
40,181,97,Other solid,Female,0.19
50,148,86,Other solid,Female,0.19
60,109,69,Other solid,Female,0.19
70,68,47,Other solid,Female,0.19
80,30,24,Other solid,Female,0.19
0,634,0,Thyroid,Female,0.00
5,419,0,Thyroid,Female,0.00
10,275,0,Thyroid,Female,0.00
15,178,0,Thyroid,Female,0.00
20,113,0,Thyroid,Female,0.00
30,41,0,Thyroid,Female,0.00
40,14,0,Thyroid,Female,0.00
50,4,0,Thyroid,Female,0.00
60,1,0,Thyroid,Female,0.00
70,0.3,0,Thyroid,Female,0.00
80,0,0,Thyroid,Female,0.00
0,4592,1717,All solid,Female,0.11
5,3265,1295,All solid,Female,0.11
10,2525,1051,All solid,Female,0.11
15,1988,862,All solid,Female,0.11
20,1575,711,All solid,Female,0.11
30,1002,491,All solid,Female,0.11
40,824,455,All solid,Female,0.11
50,678,415,All solid,Female,0.11
60,529,354,All solid,Female,0.11
70,358,265,All solid,Female,0.11
80,177,152,All solid,Female,0.11
0,185,53,Leukemia,Female,0.41
5,112,52,Leukemia,Female,0.41
10,86,53,Leukemia,Female,0.41
15,76,52,Leukemia,Female,0.41
20,71,51,Leukemia,Female,0.41
30,63,51,Leukemia,Female,0.41
40,62,52,Leukemia,Female,0.41
50,62,54,Leukemia,Female,0.41
60,57,55,Leukemia,Female,0.41
70,51,52,Leukemia,Female,0.41
80,37,38,Leukemia,Female,0.41
0,4777,1770,All cancers,Female,0.11
5,3377,1347,All cancers,Female,0.11
10,2611,1104,All cancers,Female,0.11
15,2064,914,All cancers,Female,0.11
20,1646,762,All cancers,Female,0.11
30,1065,542,All cancers,Female,0.11
40,886,507,All cancers,Female,0.11
50,740,469,All cancers,Female,0.11
60,586,409,All cancers,Female,0.11
70,409,317,All cancers,Female,0.11
80,214,190,All cancers,Female,0.11
